[LEVEL TABLE],,,,
ID,Level,Answer,QuestionStatement,CorrectAnswer
1,1,1,England is worldcup winner.,England is worldcup winner.
2,1,1,Inzamam has most runs for Paskistan,Inzamam has most runs for Paskistan
3,1,0,Pakistan won T20 worldcup under Shahid Afiridi leadership,Pakistan won T20 worldcup under Younas Khan leadership
4,1,1,Wasim Akram has most wickets for Pakistan,Wasim Akram has most wickets for Pakistan
5,1,0,Pakistan national sport is Cricket,Pakistan national sport is Hockey
[END],,,,
